starting_time,ending_time,starting_point,ending_point
2015-01-01 18:36:29,2015-01-01 18:42:12,142,239
2015-01-01 18:24:18,2015-01-01 18:27:12,234,113
2016-01-01 18:57:46,2016-01-01 19:04:17,142,239
2016-01-01 18:53:44,2016-01-01 18:57:58,163,237
2017-01-01 18:06:57,2017-01-01 18:14:03,234,48
2016-01-01 18:27:17,2016-01-01 18:46:45,170,142
2018-01-01 18:28:57,2018-01-01 18:34:53,142,48
2019-01-01 18:58:58,2019-01-01 19:12:19,161,236
2016-01-01 18:38:28,2016-01-01 18:45:36,186,170
2018-01-01 18:30:57,2018-01-01 18:44:07,186,161
2016-01-01 18:12:30,2016-01-01 18:22:59,161,170
2016-01-01 18:31:15,2016-01-01 18:34:11,48,50
2019-01-01 18:48:23,2019-01-01 18:56:03,186,113
2015-01-01 18:41:51,2015-01-01 18:48:58,142,237
2015-01-01 18:57:50,2015-01-01 19:02:09,142,239
2017-01-01 18:48:00,2017-01-01 18:56:26,237,142
2016-01-01 18:06:15,2016-01-01 18:15:34,234,231
2016-01-01 18:48:01,2016-01-01 18:53:57,186,170
2016-01-01 18:59:32,2016-01-01 19:04:29,48,142
2017-01-01 18:57:45,2017-01-01 19:02:02,163,142
2019-01-01 18:21:31,2019-01-01 18:26:54,163,140
2017-01-01 18:14:59,2017-01-01 18:28:19,237,41
2016-01-01 18:03:45,2016-01-01 18:08:37,237,163
2015-01-01 18:05:18,2015-01-01 18:09:41,142,50
2017-01-01 18:32:10,2017-01-01 18:55:27,234,43
2015-01-01 18:54:56,2015-01-01 19:01:27,79,231
2016-01-01 18:55:39,2016-01-01 19:00:48,163,239
2019-01-01 18:41:09,2019-01-01 18:43:29,142,163
2016-01-01 18:23:35,2016-01-01 18:32:24,234,50
2018-01-01 18:06:58,2018-01-01 18:14:16,170,113
2016-01-01 18:48:04,2016-01-01 18:55:06,237,43
2019-01-01 18:59:49,2019-01-01 19:18:29,186,236
2015-01-01 18:37:53,2015-01-01 18:44:50,142,48
2018-01-01 18:32:22,2018-01-01 18:39:51,186,170
2015-01-01 18:26:44,2015-01-01 18:48:42,239,79
2015-01-01 18:49:56,2015-01-01 19:04:58,79,43
2015-01-01 18:11:06,2015-01-01 18:21:52,239,237
2015-01-01 18:01:57,2015-01-01 18:10:02,142,237
2018-01-01 18:21:17,2018-01-01 18:30:46,48,186
2018-01-01 18:08:50,2018-01-01 18:28:45,239,234
2015-01-01 18:13:54,2015-01-01 18:19:13,43,237
2016-01-01 18:54:55,2016-01-01 18:56:16,142,163
2015-01-01 18:39:53,2015-01-01 18:54:06,161,68
2016-01-01 18:25:36,2016-01-01 18:34:40,43,161
2018-01-01 18:58:36,2018-01-01 19:00:19,239,142
2017-01-01 18:24:35,2017-01-01 18:54:35,161,48
2016-01-01 18:51:20,2016-01-01 19:01:24,68,50
2017-01-01 18:25:49,2017-01-01 18:43:34,161,41
2017-01-01 18:16:16,2017-01-01 18:23:44,142,236
2015-01-01 18:07:28,2015-01-01 18:18:15,142,236
2016-01-01 18:54:19,2016-01-01 18:58:44,234,79
2015-01-01 18:38:38,2015-01-01 18:53:13,140,48
2017-01-01 18:36:00,2017-01-01 18:43:18,50,163
2017-01-01 18:59:36,2017-01-01 19:15:26,79,186
2016-01-01 18:26:06,2016-01-01 18:41:47,237,161
2019-01-01 18:20:29,2019-01-01 18:25:01,237,236
