date,temperature_2m,precipitation,rain,snowfall,snow_depth,wind_speed_10m,holiday
2015/1/10 12:00,-9.716499,0,0,0,0.01,13.138765,0
2015/1/10 13:00,-9.966499,0,0,0,0.01,14.154915,0
2015/1/10 14:00,-9.466499,0,0,0,0.01,17.581125,0
2015/1/10 15:00,-8.716499,0,0,0,0.01,17.298738,0
2015/1/10 16:00,-7.7665,0,0,0,0.01,17.581125,0
2015/1/10 17:00,-6.8665,0,0,0,0.01,17.163355,0
2015/1/10 18:00,-6.1165,0,0,0,0.01,16.394829,0
2015/1/10 19:00,-5.5665,0,0,0,0.01,15.517629,0
2015/1/10 20:00,-5.3165,0,0,0,0.01,15.4800005,0
2015/1/10 21:00,-5.6665,0,0,0,0.01,13.324863,0
2015/1/10 22:00,-6.6665,0,0,0,0.01,8.654986,0
2015/1/10 23:00,-7.4165,0,0,0,0.01,8.587338,0
2015/1/11 0:00,-7.8665,0,0,0,0.01,9.449572,0
2015/1/11 1:00,-8.1665,0,0,0,0.01,12.096214,0
2015/1/11 2:00,-8.4165,0,0,0,0.01,13.0447235,0
2015/1/11 3:00,-8.6665,0,0,0,0.01,11.609651,0
2015/1/11 4:00,-8.866501,0,0,0,0.01,10.685391,0
2015/1/11 5:00,-9.0665,0,0,0,0.01,9.085988,0
2015/1/11 6:00,-9.1665,0,0,0,0.01,8.714677,0
2015/1/11 7:00,-9.0665,0,0,0,0.01,8.78872,0
2015/1/11 8:00,-8.716499,0,0,0,0.01,8.049845,0
2015/1/11 9:00,-8.5665,0,0,0,0.01,9.028754,0
2015/1/11 10:00,-8.466499,0,0,0,0.01,7.289444,0
2015/1/11 11:00,-8.5665,0,0,0,0.01,6.638072,0
2015/1/11 12:00,-8.616501,0,0,0,0.01,6.9153743,0
2015/1/11 13:00,-8.716499,0,0,0,0.01,5.95906,0
2015/1/11 14:00,-6.7165,0,0,0,0.01,4.896529,0
2015/1/11 15:00,-4.7165,0,0,0,0.01,7.8625183,0
2015/1/11 16:00,-2.7665,0,0,0,0.01,10.495713,0
2015/1/11 17:00,-1.0665,0,0,0,0.01,12.245293,0
2015/1/11 18:00,0.33350003,0,0,0,0.01,14.039999,0
2015/1/11 19:00,1.3835,0,0,0,0.01,15.042659,0
2015/1/11 20:00,1.7335,0,0,0,0.01,14.24163,0
2015/1/11 21:00,1.0835,0,0,0,0.01,10.390226,0
2015/1/11 22:00,-0.46649998,0,0,0,0.01,8.12197,0
2015/1/11 23:00,-1.4165,0,0,0,0.01,8.699793,0
2015/1/12 0:00,-1.9165,0,0,0,0.01,8.854829,0
2015/1/12 1:00,-1.9665,0,0,0,0.01,9.021574,0
2015/1/12 2:00,-1.3165,0,0,0,0.01,9.19939,0
2015/1/12 3:00,-0.9165,0,0,0,0.01,8.891343,0
2015/1/12 4:00,-1.3165,0,0,0,0.01,7.7879906,0
2015/1/12 5:00,-1.5665,0,0,0,0.01,7.289445,0
2015/1/12 6:00,-1.1665,0,0,0,0.01,7.42159,0
2015/1/12 7:00,-0.46649998,0,0,0,0.01,7.8954163,0
2015/1/12 8:00,-0.2165,0,0,0,0.01,7.8954163,0
2015/1/12 9:00,-0.06649999,0,0,0,0.01,8.217153,0
2015/1/12 10:00,-0.11649999,0,0,0,0.01,6.0347,0
2015/1/12 11:00,-0.2165,0,0,0,0.01,8.12197,0
2015/1/12 12:00,0.28350002,0,0,0,0.01,7.10031,0
2015/1/12 13:00,0.6335,0,0,0,0.01,8.049845,0
2015/1/12 14:00,0.8335,0.3,0.3,0,0.01,10.990322,0
2015/1/12 15:00,0.8335,0.8,0.8,0,0.01,8.854829,0
2015/1/12 16:00,1.4335,1.5,1.5,0,0.01,6.193674,0
2015/1/12 17:00,2.0835,1.7,1.7,0,0.01,5.4833565,0
2015/1/12 18:00,2.1835,2.3,2.3,0,0.01,6.924738,0
2015/1/12 19:00,1.7335,1.6,1.6,0,0.01,5.495161,0
2015/1/12 20:00,1.6835,1.4,1.4,0,0.01,5.315336,0
2015/1/12 21:00,1.5335,0.6,0.6,0,0.01,5.8048253,0
2015/1/12 22:00,1.3835,0.4,0.4,0,0.01,4.896529,0
2015/1/12 23:00,1.2335,0.3,0.3,0,0.01,5.815978,0
2015/1/13 0:00,1.2835,0.2,0.2,0,0.01,8.373386,0
2015/1/13 1:00,1.5335,0.2,0.2,0,0.01,10.137692,0
2015/1/13 2:00,1.7835,0.4,0.4,0,0.01,12.496719,0
2015/1/13 3:00,1.6835,0.7,0.7,0,0.01,11.013882,0
2015/1/13 4:00,1.2835,0.6,0.6,0,0.01,9.255571,0
2015/1/13 5:00,0.6335,0.4,0.2,0.14,0.01,9.565437,0
2015/1/13 6:00,0.33350003,0.1,0,0.07,0.01,12.979984,0
2015/1/13 7:00,0.4835,0,0,0,0.01,15.192682,0
2015/1/13 8:00,-0.1665,0,0,0,0.01,16.394829,0
2015/1/13 9:00,-0.7665,0,0,0,0.01,17.414476,0
2015/1/13 10:00,-1.5665,0,0,0,0.01,12.313893,0
2015/1/13 11:00,-2.5165,0,0,0,0.01,14.145756,0
2015/1/13 12:00,-3.5665,0,0,0,0.01,16.394829,0
2015/1/13 13:00,-4.6665,0,0,0,0.01,17.771753,0
2015/1/13 14:00,-5.0165,0,0,0,0.01,19.813087,0
2015/1/13 15:00,-4.7165,0,0,0,0.01,19.083395,0
2015/1/13 16:00,-4.2165003,0,0,0,0.01,18.374111,0
2015/1/13 17:00,-3.6665,0,0,0,0.01,18.448023,0
2015/1/13 18:00,-3.2165,0,0,0,0.01,17.935081,0
2015/1/13 19:00,-3.2165,0,0,0,0.01,17.026896,0
2015/1/13 20:00,-3.4665,0,0,0,0.01,15.827721,0
2015/1/13 21:00,-4.1665,0,0,0,0.01,13.1041975,0
2015/1/13 22:00,-5.2165,0,0,0,0.01,8.4042845,0
2015/1/13 23:00,-6.2165,0,0,0,0.01,10.594036,0
2015/1/14 0:00,-7.0165,0,0,0,0.01,11.792404,0
2015/1/14 1:00,-7.6665,0,0,0,0.01,11.440978,0
2015/1/14 2:00,-8.0665,0,0,0,0.01,10.829959,0
2015/1/14 3:00,-8.3165,0,0,0,0.01,9.605998,0
2015/1/14 4:00,-8.3165,0,0,0,0.01,10.483357,0
2015/1/14 5:00,-8.3165,0,0,0,0.01,11.966954,0
2015/1/14 6:00,-8.366501,0,0,0,0.01,12.0694,0
2015/1/14 7:00,-8.5665,0,0,0,0.01,12.979984,0
2015/1/14 8:00,-8.5165,0,0,0,0.01,13.32,0
2015/1/14 9:00,-8.466499,0,0,0,0.01,12.979984,0
2015/1/14 10:00,-8.1165,0,0,0,0.01,11.620809,0
2015/1/14 11:00,-7.9165,0,0,0,0.01,12.496719,0
2015/1/14 12:00,-7.4665,0,0,0,0.01,12.496719,0
2015/1/14 13:00,-7.0165,0,0,0,0.01,10.948973,0
2015/1/14 14:00,-6.1165,0,0,0,0.01,12.43434,0
2015/1/14 15:00,-4.8165,0,0,0,0.01,13.527572,0
2015/1/14 16:00,-3.4665,0,0,0,0.01,12.387348,0
2015/1/14 17:00,-1.9165,0,0,0,0.01,11.212135,0
2015/1/14 18:00,-1.0165,0,0,0,0.01,10.233123,0
2015/1/14 19:00,-0.3665,0,0,0,0.01,9.885262,0
2015/1/14 20:00,-0.3165,0,0,0,0.01,9.585739,0
2015/1/14 21:00,-0.6165,0,0,0,0.01,8.161764,0
2015/1/14 22:00,-1.4165,0,0,0,0.01,5.937272,0
2015/1/14 23:00,-2.1165,0,0,0,0.01,5.8603754,0
2015/1/15 0:00,-2.7665,0,0,0,0.01,6.297428,0
2015/1/15 1:00,-3.0665,0,0,0,0.01,6.830519,0
2015/1/15 2:00,-3.1665,0,0,0,0.01,6.8399997,0
2015/1/15 3:00,-3.4165,0,0,0,0.01,6.12,0
2015/1/15 4:00,-3.2665,0,0,0,0.01,6.12,0
2015/1/15 5:00,-3.4165,0,0,0,0.01,6.87779,0
2015/1/15 6:00,-3.9665,0,0,0,0.01,7.342588,0
2015/1/15 7:00,-4.4665,0,0,0,0.01,6.725354,0
2015/1/15 8:00,-4.6165,0,0,0,0.01,5.815978,0
2015/1/15 9:00,-4.9665,0,0,0,0.01,5.634891,0
2015/1/15 10:00,-5.2665,0,0,0,0.01,6.130579,0
2015/1/15 11:00,-5.2665,0,0,0,0.01,5.4119864,0
2015/1/15 12:00,-5.4165,0,0,0,0.01,4.1046314,0
2015/1/15 13:00,-5.0665,0,0,0,0.01,4.1046314,0
2015/1/15 14:00,-3.4165,0,0,0,0.01,6.297428,0
2015/1/15 15:00,-2.2665,0,0,0,0.01,6.9247384,0
2015/1/15 16:00,-1.3665,0,0,0,0.01,7.42159,0
