date,hour,count
2019/2/6,17,13237
2019/2/6,18,16373
2019/2/6,19,15495
2019/2/6,20,14247
2019/2/6,21,14583
2019/2/6,22,12316
2019/2/6,23,7945
2019/2/7,0,3870
2019/2/7,1,1998
2019/2/7,2,1243
2019/2/7,3,800
2019/2/7,4,741
2019/2/7,5,1881
2019/2/7,6,5674
2019/2/7,7,10728
2019/2/7,8,12740
2019/2/7,9,11961
2019/2/7,10,10460
2019/2/7,11,10302
2019/2/7,12,10832
2019/2/7,13,10825
2019/2/7,14,11812
2019/2/7,15,12074
2019/2/7,16,10808
2019/2/7,17,12838
2019/2/7,18,14847
2019/2/7,19,14872
2019/2/7,20,13651
2019/2/7,21,13594
2019/2/7,22,12365
2019/2/7,23,9360
2019/2/8,0,5520
2019/2/8,1,3709
2019/2/8,2,1901
2019/2/8,3,1224
2019/2/8,4,965
2019/2/8,5,1805
2019/2/8,6,5341
2019/2/8,7,10730
2019/2/8,8,12906
2019/2/8,9,12559
2019/2/8,10,11359
2019/2/8,11,10283
2019/2/8,12,10535
2019/2/8,13,10428
2019/2/8,14,11706
2019/2/8,15,11762
2019/2/8,16,10961
2019/2/8,17,13515
2019/2/8,18,15810
2019/2/8,19,15796
2019/2/8,20,13789
2019/2/8,21,13133
2019/2/8,22,13167
2019/2/8,23,12015
2019/2/9,0,9646
2019/2/9,1,7914
2019/2/9,2,6215
2019/2/9,3,4187
2019/2/9,4,2148
2019/2/9,5,1003
2019/2/9,6,1909
2019/2/9,7,3242
2019/2/9,8,5541
2019/2/9,9,8919
2019/2/9,10,10729
2019/2/9,11,12292
2019/2/9,12,12938
2019/2/9,13,13040
2019/2/9,14,12628
2019/2/9,15,12828
2019/2/9,16,12571
2019/2/9,17,13172
2019/2/9,18,14280
2019/2/9,19,14188
2019/2/9,20,10940
2019/2/9,21,11109
2019/2/9,22,12619
2019/2/9,23,12001
2019/2/10,0,10405
2019/2/10,1,9156
2019/2/10,2,7265
2019/2/10,3,4938
2019/2/10,4,2438
2019/2/10,5,916
2019/2/10,6,1286
2019/2/10,7,2063
2019/2/10,8,3760
2019/2/10,9,6054
2019/2/10,10,8545
2019/2/10,11,9792
2019/2/10,12,10837
2019/2/10,13,11236
2019/2/10,14,10861
2019/2/10,15,10135
2019/2/10,16,10307
2019/2/10,17,10282
2019/2/10,18,10293
2019/2/10,19,8738
2019/2/10,20,7100
2019/2/10,21,6670
2019/2/10,22,5161
2019/2/10,23,3032
2019/2/11,0,1703
2019/2/11,1,1018
2019/2/11,2,754
2019/2/11,3,508
2019/2/11,4,577
2019/2/11,5,1630
2019/2/11,6,5407
2019/2/11,7,9878
2019/2/11,8,11422
2019/2/11,9,10501
2019/2/11,10,9215
2019/2/11,11,9221
2019/2/11,12,9586
2019/2/11,13,9788
2019/2/11,14,10454
2019/2/11,15,11027
2019/2/11,16,10371
2019/2/11,17,12135
2019/2/11,18,13890
2019/2/11,19,12408
2019/2/11,20,11182
2019/2/11,21,10212
2019/2/11,22,8088
2019/2/11,23,4798
2019/2/12,0,2759
2019/2/12,1,1401
2019/2/12,2,884
2019/2/12,3,560
2019/2/12,4,666
2019/2/12,5,1659
2019/2/12,6,5016
2019/2/12,7,9823
2019/2/12,8,11610
2019/2/12,9,11044
2019/2/12,10,9466
2019/2/12,11,9755
2019/2/12,12,9384
2019/2/12,13,9558
2019/2/12,14,10302
2019/2/12,15,10731
2019/2/12,16,10107
2019/2/12,17,12134
2019/2/12,18,14457
2019/2/12,19,12533
2019/2/12,20,11960
2019/2/12,21,11654
2019/2/12,22,9498
2019/2/12,23,6091
2019/2/13,0,3013
2019/2/13,1,1615
2019/2/13,2,966
2019/2/13,3,598
2019/2/13,4,621
2019/2/13,5,1703
2019/2/13,6,5661
2019/2/13,7,10701
2019/2/13,8,12592
2019/2/13,9,11448
2019/2/13,10,10255
2019/2/13,11,10369
2019/2/13,12,10718
2019/2/13,13,10732
2019/2/13,14,11827
2019/2/13,15,11618
2019/2/13,16,10920
2019/2/13,17,13241
2019/2/13,18,15491
2019/2/13,19,14448
2019/2/13,20,13586
2019/2/13,21,13163
2019/2/13,22,11559
2019/2/13,23,7379
2019/2/14,0,4037
2019/2/14,1,2161
2019/2/14,2,1326
2019/2/14,3,859
2019/2/14,4,796
2019/2/14,5,1762
2019/2/14,6,5522
2019/2/14,7,10727
2019/2/14,8,12822
2019/2/14,9,11699
2019/2/14,10,10312
2019/2/14,11,10241
2019/2/14,12,10727
2019/2/14,13,10281
2019/2/14,14,11131
2019/2/14,15,11761
2019/2/14,16,10655
2019/2/14,17,13124
2019/2/14,18,15552
2019/2/14,19,15288
2019/2/14,20,12656
2019/2/14,21,11920
2019/2/14,22,11693
2019/2/14,23,9104
2019/2/15,0,5296
2019/2/15,1,3304
2019/2/15,2,1957
2019/2/15,3,1237
2019/2/15,4,1019
2019/2/15,5,1727
2019/2/15,6,4942
2019/2/15,7,9452
2019/2/15,8,11504
2019/2/15,9,10721
2019/2/15,10,9513
2019/2/15,11,9797
2019/2/15,12,10155
2019/2/15,13,10151
2019/2/15,14,10651
2019/2/15,15,10733
2019/2/15,16,10119
2019/2/15,17,11858
2019/2/15,18,13972
2019/2/15,19,13382
2019/2/15,20,10760
2019/2/15,21,10311
2019/2/15,22,10949
2019/2/15,23,9614
2019/2/16,0,8081
